road_id,risk_score,predicted_disruption
way/713586648,6.92,0
way/713587279,5.21,0
way/713587280,5.21,0
way/714344976,5.21,0
way/714347282,24.57,0
way/714355207,47.94,1
way/714390617,5.21,0
way/714398978,66.2,1
way/714406004,6.1,0
way/714406005,10.31,0
way/714408680,13.88,0
way/715193914,5.21,0
way/715363038,5.21,0
way/724689844,37.51,1
way/733194334,96.67,1
way/733443659,96.67,1
way/734350780,75.58,1
way/734350781,54.09,1
way/734350783,66.48,1
way/734350784,41.37,1
way/734350785,68.22,1
way/734642748,40.64,1
way/734642749,40.64,1
way/734642750,64.79,1
way/734642751,67.96,1
way/734642752,64.79,1
way/734738134,18.18,0
way/735380011,20.58,0
way/739795308,59.01,1
way/739795310,95.03,1
way/739795311,88.25,1
way/739795312,68.91,1
way/740044933,75.58,1
way/740044934,75.58,1
way/740044935,86.32,1
way/740044936,86.32,1
way/740099635,82.41,1
way/757109628,53.92,1
way/760408588,28.66,0
way/760408589,22.64,0
way/760408590,34.66,0
way/760743299,8.03,0
way/760743310,11.6,0
way/760743311,24.31,0
way/760743312,27.9,0
way/760743313,8.03,0
way/760743314,27.9,0
way/761332709,7.91,0
way/761332710,7.91,0
way/761332711,29.84,0
way/761332712,29.84,0
way/761332713,29.84,0
way/761342326,67.86,1
way/761342338,95.03,1
way/761342348,74.89,1
way/761342359,68.22,1
way/761342360,68.22,1
way/761342362,35.37,1
way/761925723,5.21,0
way/761938604,5.21,0
way/761945490,5.21,0
way/761945804,5.21,0
way/762343653,5.21,0
way/762343654,25.32,0
way/762343656,5.21,0
way/762343657,5.21,0
way/762343670,5.21,0
way/762343671,5.21,0
way/762356174,5.21,0
way/762356175,5.21,0
way/762356176,5.21,0
way/762356177,5.21,0
way/762356188,5.21,0
way/762356189,5.21,0
way/762356190,5.21,0
way/762356191,5.21,0
way/762356192,5.21,0
way/762365075,54.59,1
way/762365076,35.24,1
way/762365078,33.92,0
way/771296820,27.9,0
way/806274797,20.24,0
way/856441088,30.57,0
way/867774688,95.03,1
way/867774689,77.22,1
way/867774690,68.22,1
way/867774691,5.21,0
way/867774693,37.03,1
way/867774694,5.21,0
way/867774695,43.85,1
way/867774700,6.1,0
way/867774702,5.21,0
way/867776438,5.21,0
way/868672421,16.25,0
way/881785676,5.21,0
way/881785677,5.21,0
way/881785686,5.21,0
way/881785687,5.21,0
way/881785688,5.21,0
way/881785689,5.21,0
way/881785690,5.21,0
way/881785691,5.21,0
way/881785692,5.21,0
way/881785696,5.21,0
way/881785697,5.21,0
way/881785712,5.21,0
way/881785715,5.21,0
way/881785716,5.21,0
way/882027612,5.21,0
way/901170038,5.21,0
way/906724381,6.92,0
way/906724382,6.92,0
way/906724383,6.92,0
way/906724388,6.92,0
way/911817223,11.48,0
way/911817224,7.91,0
way/911817226,5.21,0
way/911817227,21.88,0
way/911817228,5.21,0
way/911817230,12.48,0
way/911817231,21.88,0
way/911817232,22.64,0
way/911817233,12.48,0
way/911817234,5.21,0
way/911820040,20.58,0
